id,date,city,country,temperature_c,humidity_%,wind_speed_kmh,weather
50,2024-01-03 01:00:00,Christchurch,NZ,26.8,65,19.8,Rainy
51,2024-01-03 02:00:00,Christchurch,NZ,25.2,55,7.5,Stormy
52,2024-01-03 03:00:00,Tauranga,NZ,20.1,62,3.8,Sunny
53,2024-01-03 04:00:00,Tauranga,NZ,5.7,43,16.2,Stormy
54,2024-01-03 05:00:00,Hamilton,NZ,20.6,72,25.9,Sunny
55,2024-01-03 06:00:00,Wellington,NZ,25.6,74,33.1,Cloudy
56,2024-01-03 07:00:00,Palmerston North,NZ,12.4,41,5.8,Stormy
57,2024-01-03 08:00:00,Auckland,NZ,24.8,62,19.6,Cloudy
58,2024-01-03 09:00:00,Auckland,NZ,12.8,48,14.3,Stormy
59,2024-01-03 10:00:00,Palmerston North,NZ,25.8,48,4.3,Sunny
60,2024-01-03 11:00:00,Palmerston North,NZ,12.0,42,18.6,Sunny
61,2024-01-03 12:00:00,Auckland,NZ,6.4,80,39.0,Stormy
62,2024-01-03 13:00:00,Wellington,NZ,5.9,89,1.3,Rainy
63,2024-01-03 14:00:00,Wellington,NZ,24.9,43,24.1,Cloudy
64,2024-01-03 15:00:00,Auckland,NZ,11.9,62,37.4,Sunny
65,2024-01-03 16:00:00,Napier,NZ,18.9,82,14.7,Sunny
66,2024-01-03 17:00:00,Christchurch,NZ,19.8,47,21.3,Rainy
67,2024-01-03 18:00:00,Auckland,NZ,5.5,52,22.3,Cloudy
68,2024-01-03 19:00:00,Christchurch,NZ,16.1,77,29.2,Snowy
69,2024-01-03 20:00:00,Dunedin,NZ,20.6,100,18.0,Foggy
70,2024-01-03 21:00:00,Palmerston North,NZ,13.6,97,19.7,Snowy
71,2024-01-03 22:00:00,Wellington,NZ,19.0,55,28.3,Sunny
72,2024-01-03 23:00:00,Hamilton,NZ,26.6,76,22.9,Cloudy
73,2024-01-04 00:00:00,Christchurch,NZ,6.6,98,7.3,Foggy
74,2024-01-04 01:00:00,Napier,NZ,5.5,78,13.9,Stormy
75,2024-01-04 02:00:00,Tauranga,NZ,29.3,57,14.4,Snowy
76,2024-01-04 03:00:00,Tauranga,NZ,8.1,58,22.4,Rainy
77,2024-01-04 04:00:00,Wellington,NZ,14.2,75,26.8,Foggy
78,2024-01-04 05:00:00,Dunedin,NZ,10.9,53,34.6,Rainy
79,2024-01-04 06:00:00,Palmerston North,NZ,9.3,93,23.6,Sunny
80,2024-01-04 07:00:00,Auckland,NZ,18.2,49,38.9,Snowy
81,2024-01-04 08:00:00,Auckland,NZ,10.1,86,29.5,Cloudy
82,2024-01-04 09:00:00,Auckland,NZ,28.1,82,27.6,Foggy
83,2024-01-04 10:00:00,Christchurch,NZ,23.3,73,13.5,Stormy
84,2024-01-04 11:00:00,Tauranga,NZ,11.8,75,15.5,Foggy
85,2024-01-04 12:00:00,Wellington,NZ,28.1,56,23.2,Sunny
86,2024-01-04 13:00:00,Wellington,NZ,23.2,99,38.4,Sunny
87,2024-01-04 14:00:00,Christchurch,NZ,9.9,48,37.2,Rainy
88,2024-01-04 15:00:00,Dunedin,NZ,20.0,75,16.1,Rainy
89,2024-01-04 16:00:00,Christchurch,NZ,10.1,67,8.7,Rainy
90,2024-01-04 17:00:00,Palmerston North,NZ,10.0,89,35.2,Sunny
91,2024-01-04 18:00:00,Wellington,NZ,15.8,80,27.1,Stormy
92,2024-01-04 19:00:00,Tauranga,NZ,25.8,67,2.1,Cloudy
93,2024-01-04 20:00:00,Tauranga,NZ,28.4,68,0.9,Foggy
94,2024-01-04 21:00:00,Hamilton,NZ,5.6,51,28.9,Foggy
95,2024-01-04 22:00:00,Auckland,NZ,21.9,65,19.2,Snowy
96,2024-01-04 23:00:00,Christchurch,NZ,28.9,51,14.5,Rainy
97,2024-01-05 00:00:00,Tauranga,NZ,14.8,40,16.5,Stormy
98,2024-01-05 01:00:00,Dunedin,NZ,7.2,42,38.9,Rainy
99,2024-01-05 02:00:00,Dunedin,NZ,9.0,75,36.8,Cloudy
100,2024-01-05 03:00:00,Auckland,NZ,18.8,58,29.5,Sunny
101,2024-01-05 04:00:00,Auckland,NZ,19.4,56,36.9,Foggy
102,2024-01-05 05:00:00,Tauranga,NZ,20.6,86,18.6,Rainy
103,2024-01-05 06:00:00,Wellington,NZ,15.6,71,33.8,Cloudy
104,2024-01-05 07:00:00,Christchurch,NZ,27.8,49,11.3,Rainy
105,2024-01-05 08:00:00,Tauranga,NZ,28.5,67,31.0,Stormy
106,2024-01-05 09:00:00,Wellington,NZ,25.7,48,17.8,Cloudy
107,2024-01-05 10:00:00,Wellington,NZ,19.4,63,34.1,Foggy
108,2024-01-05 11:00:00,Napier,NZ,11.2,82,8.3,Snowy
109,2024-01-05 12:00:00,Wellington,NZ,25.5,46,10.5,Snowy
110,2024-01-05 13:00:00,Palmerston North,NZ,14.6,83,26.6,Stormy
111,2024-01-05 14:00:00,Hamilton,NZ,5.2,98,25.9,Cloudy
112,2024-01-05 15:00:00,Dunedin,NZ,21.8,49,7.8,Stormy
113,2024-01-05 16:00:00,Dunedin,NZ,24.0,51,28.9,Rainy
114,2024-01-05 17:00:00,Dunedin,NZ,24.8,45,26.4,Cloudy
115,2024-01-05 18:00:00,Auckland,NZ,26.4,95,30.4,Stormy
116,2024-01-05 19:00:00,Palmerston North,NZ,18.0,79,36.9,Sunny
117,2024-01-05 20:00:00,Wellington,NZ,25.1,57,13.0,Sunny
118,2024-01-05 21:00:00,Tauranga,NZ,30.0,65,23.4,Stormy
119,2024-01-05 22:00:00,Dunedin,NZ,29.7,46,18.4,Cloudy
120,2024-01-05 23:00:00,Christchurch,NZ,6.8,57,38.1,Foggy
121,2024-01-06 00:00:00,Tauranga,NZ,10.3,68,37.9,Foggy
122,2024-01-06 01:00:00,Auckland,NZ,12.9,55,4.6,Rainy
123,2024-01-06 02:00:00,Auckland,NZ,28.7,56,2.4,Stormy
124,2024-01-06 03:00:00,Tauranga,NZ,24.6,86,7.9,Foggy
125,2024-01-06 04:00:00,Hamilton,NZ,25.4,71,28.6,Rainy
126,2024-01-06 05:00:00,Napier,NZ,13.5,97,28.8,Cloudy
127,2024-01-06 06:00:00,Palmerston North,NZ,6.3,85,8.5,Rainy
128,2024-01-06 07:00:00,Palmerston North,NZ,24.6,64,26.2,Snowy
129,2024-01-06 08:00:00,Auckland,NZ,15.5,67,7.8,Stormy
130,2024-01-06 09:00:00,Dunedin,NZ,24.6,61,9.3,Sunny
131,2024-01-06 10:00:00,Palmerston North,NZ,11.1,76,25.8,Stormy
132,2024-01-06 11:00:00,Wellington,NZ,16.1,56,31.6,Stormy
133,2024-01-06 12:00:00,Wellington,NZ,24.7,55,29.3,Cloudy
134,2024-01-06 13:00:00,Palmerston North,NZ,18.8,68,20.0,Cloudy
135,2024-01-06 14:00:00,Palmerston North,NZ,23.2,99,0.9,Sunny
136,2024-01-06 15:00:00,Napier,NZ,5.3,62,35.0,Cloudy
137,2024-01-06 16:00:00,Palmerston North,NZ,7.1,75,4.0,Sunny
138,2024-01-06 17:00:00,Christchurch,NZ,23.3,69,33.9,Stormy
139,2024-01-06 18:00:00,Napier,NZ,12.4,50,38.7,Snowy
140,2024-01-06 19:00:00,Wellington,NZ,28.3,40,26.5,Foggy
141,2024-01-06 20:00:00,Hamilton,NZ,10.8,45,13.1,Rainy
142,2024-01-06 21:00:00,Tauranga,NZ,29.2,80,27.9,Foggy
143,2024-01-06 22:00:00,Tauranga,NZ,23.0,94,3.6,Rainy
144,2024-01-06 23:00:00,Dunedin,NZ,5.8,83,15.5,Stormy
145,2024-01-07 00:00:00,Napier,NZ,16.4,95,40.0,Cloudy
146,2024-01-07 01:00:00,Dunedin,NZ,8.1,81,38.3,Rainy
147,2024-01-07 02:00:00,Hamilton,NZ,23.2,57,4.8,Rainy
148,2024-01-07 03:00:00,Napier,NZ,9.2,52,9.9,Snowy
149,2024-01-07 04:00:00,Auckland,NZ,7.9,81,15.2,Foggy
150,2024-01-07 05:00:00,Dunedin,NZ,12.8,90,9.6,Rainy
151,2024-01-07 06:00:00,Wellington,NZ,23.5,68,28.8,Rainy
152,2024-01-07 07:00:00,Christchurch,NZ,13.7,92,22.7,Snowy
153,2024-01-07 08:00:00,Christchurch,NZ,28.6,42,29.9,Cloudy
154,2024-01-07 09:00:00,Auckland,NZ,29.4,55,38.2,Stormy
155,2024-01-07 10:00:00,Tauranga,NZ,29.3,42,37.5,Snowy
156,2024-01-07 11:00:00,Tauranga,NZ,10.4,42,21.5,Snowy
157,2024-01-07 12:00:00,Napier,NZ,25.0,71,3.8,Foggy
158,2024-01-07 13:00:00,Tauranga,NZ,20.9,66,34.1,Snowy
159,2024-01-07 14:00:00,Auckland,NZ,11.4,72,29.3,Sunny
160,2024-01-07 15:00:00,Tauranga,NZ,14.9,94,37.1,Snowy
161,2024-01-07 16:00:00,Hamilton,NZ,8.6,62,14.2,Foggy
162,2024-01-07 17:00:00,Hamilton,NZ,22.3,94,14.8,Snowy
163,2024-01-07 18:00:00,Wellington,NZ,21.0,52,2.2,Snowy
164,2024-01-07 19:00:00,Wellington,NZ,30.0,69,1.9,Rainy
165,2024-01-07 20:00:00,Auckland,NZ,18.6,73,15.7,Stormy
166,2024-01-07 21:00:00,Hamilton,NZ,16.3,48,39.1,Sunny
167,2024-01-07 22:00:00,Dunedin,NZ,23.9,81,12.9,Cloudy
168,2024-01-07 23:00:00,Palmerston North,NZ,24.5,89,21.8,Rainy
169,2024-01-08 00:00:00,Palmerston North,NZ,13.5,54,16.5,Stormy
170,2024-01-08 01:00:00,Palmerston North,NZ,28.1,91,1.8,Snowy
171,2024-01-08 02:00:00,Dunedin,NZ,29.5,56,7.9,Snowy
172,2024-01-08 03:00:00,Christchurch,NZ,25.1,86,16.9,Stormy
173,2024-01-08 04:00:00,Napier,NZ,24.7,90,1.7,Stormy
174,2024-01-08 05:00:00,Napier,NZ,23.3,41,13.9,Stormy
175,2024-01-08 06:00:00,Wellington,NZ,16.2,56,34.2,Snowy
176,2024-01-08 07:00:00,Dunedin,NZ,19.7,96,0.8,Sunny
177,2024-01-08 08:00:00,Dunedin,NZ,9.7,91,32.1,Cloudy
178,2024-01-08 09:00:00,Hamilton,NZ,6.8,100,25.0,Cloudy
179,2024-01-08 10:00:00,Tauranga,NZ,24.3,87,9.3,Cloudy
180,2024-01-08 11:00:00,Dunedin,NZ,22.7,63,13.1,Snowy
181,2024-01-08 12:00:00,Christchurch,NZ,12.3,82,18.5,Sunny
182,2024-01-08 13:00:00,Dunedin,NZ,19.1,73,1.5,Sunny
183,2024-01-08 14:00:00,Auckland,NZ,14.7,68,5.3,Snowy
184,2024-01-08 15:00:00,Christchurch,NZ,21.8,53,9.1,Sunny
185,2024-01-08 16:00:00,Tauranga,NZ,13.6,47,39.0,Foggy
186,2024-01-08 17:00:00,Hamilton,NZ,6.5,66,15.6,Cloudy
187,2024-01-08 18:00:00,Dunedin,NZ,12.4,87,31.5,Foggy
188,2024-01-08 19:00:00,Wellington,NZ,27.0,97,12.8,Cloudy
189,2024-01-08 20:00:00,Napier,NZ,16.0,46,2.4,Stormy
190,2024-01-08 21:00:00,Napier,NZ,9.8,50,27.7,Cloudy
191,2024-01-08 22:00:00,Tauranga,NZ,15.4,86,30.1,Stormy
192,2024-01-08 23:00:00,Auckland,NZ,12.2,76,35.5,Snowy
193,2024-01-09 00:00:00,Dunedin,NZ,18.5,87,9.4,Snowy
194,2024-01-09 01:00:00,Christchurch,NZ,10.6,46,7.7,Rainy
195,2024-01-09 02:00:00,Auckland,NZ,23.1,56,12.6,Rainy
196,2024-01-09 03:00:00,Tauranga,NZ,7.0,95,7.2,Stormy
197,2024-01-09 04:00:00,Wellington,NZ,20.9,42,32.1,Stormy
198,2024-01-09 05:00:00,Hamilton,NZ,20.9,90,31.4,Stormy
199,2024-01-09 06:00:00,Napier,NZ,11.7,48,31.5,Cloudy
200,2024-01-09 07:00:00,Napier,NZ,15.1,44,37.5,Foggy
201,2024-01-09 08:00:00,Palmerston North,NZ,19.4,73,12.4,Cloudy
202,2024-01-09 09:00:00,Tauranga,NZ,10.6,68,22.0,Sunny
203,2024-01-09 10:00:00,Auckland,NZ,23.9,54,0.7,Snowy
204,2024-01-09 11:00:00,Napier,NZ,7.0,80,6.3,Sunny
205,2024-01-09 12:00:00,Wellington,NZ,15.1,65,8.4,Snowy
206,2024-01-09 13:00:00,Auckland,NZ,9.3,88,21.2,Stormy
207,2024-01-09 14:00:00,Christchurch,NZ,20.8,47,18.2,Snowy
208,2024-01-09 15:00:00,Hamilton,NZ,9.8,92,24.6,Foggy
209,2024-01-09 16:00:00,Tauranga,NZ,11.5,58,6.6,Rainy
210,2024-01-09 17:00:00,Palmerston North,NZ,19.4,56,8.8,Stormy
211,2024-01-09 18:00:00,Dunedin,NZ,11.4,74,12.4,Foggy
212,2024-01-09 19:00:00,Christchurch,NZ,15.3,55,20.3,Sunny
213,2024-01-09 20:00:00,Napier,NZ,23.5,72,27.3,Foggy
214,2024-01-09 21:00:00,Tauranga,NZ,9.0,93,12.0,Rainy
215,2024-01-09 22:00:00,Christchurch,NZ,8.8,92,32.8,Stormy
216,2024-01-09 23:00:00,Dunedin,NZ,10.6,43,5.0,Sunny
217,2024-01-10 00:00:00,Hamilton,NZ,7.2,72,35.8,Foggy
218,2024-01-10 01:00:00,Dunedin,NZ,21.2,82,10.7,Stormy
219,2024-01-10 02:00:00,Tauranga,NZ,24.9,99,11.3,Snowy
220,2024-01-10 03:00:00,Auckland,NZ,16.4,59,39.4,Snowy
221,2024-01-10 04:00:00,Christchurch,NZ,21.4,61,14.1,Rainy
222,2024-01-10 05:00:00,Palmerston North,NZ,18.8,47,10.1,Foggy
223,2024-01-10 06:00:00,Auckland,NZ,25.9,87,7.1,Cloudy
224,2024-01-10 07:00:00,Palmerston North,NZ,28.0,41,27.4,Cloudy
225,2024-01-10 08:00:00,Napier,NZ,14.4,73,19.7,Sunny
226,2024-01-10 09:00:00,Napier,NZ,13.5,40,28.9,Stormy
227,2024-01-10 10:00:00,Wellington,NZ,11.1,98,2.8,Foggy
228,2024-01-10 11:00:00,Christchurch,NZ,5.1,93,7.0,Snowy
229,2024-01-10 12:00:00,Auckland,NZ,13.1,52,30.6,Snowy
230,2024-01-10 13:00:00,Christchurch,NZ,21.6,46,26.3,Cloudy
231,2024-01-10 14:00:00,Palmerston North,NZ,9.0,71,33.7,Rainy
232,2024-01-10 15:00:00,Wellington,NZ,11.2,97,8.0,Sunny
233,2024-01-10 16:00:00,Christchurch,NZ,15.3,41,2.7,Rainy
234,2024-01-10 17:00:00,Auckland,NZ,21.6,93,29.2,Stormy
235,2024-01-10 18:00:00,Wellington,NZ,27.7,80,18.1,Foggy
236,2024-01-10 19:00:00,Wellington,NZ,20.6,77,10.0,Sunny
237,2024-01-10 20:00:00,Dunedin,NZ,6.1,49,10.9,Stormy
238,2024-01-10 21:00:00,Tauranga,NZ,15.6,56,10.5,Sunny
239,2024-01-10 22:00:00,Wellington,NZ,23.4,72,8.8,Foggy
240,2024-01-10 23:00:00,Hamilton,NZ,6.0,77,28.4,Rainy
241,2024-01-11 00:00:00,Christchurch,NZ,21.1,55,20.9,Cloudy
242,2024-01-11 01:00:00,Wellington,NZ,10.0,55,36.9,Sunny
243,2024-01-11 02:00:00,Dunedin,NZ,21.6,72,36.3,Rainy
244,2024-01-11 03:00:00,Tauranga,NZ,27.0,59,30.1,Snowy
245,2024-01-11 04:00:00,Tauranga,NZ,10.3,45,18.7,Stormy
246,2024-01-11 05:00:00,Hamilton,NZ,10.0,58,16.0,Cloudy
247,2024-01-11 06:00:00,Wellington,NZ,19.4,75,22.1,Cloudy
248,2024-01-11 07:00:00,Palmerston North,NZ,6.2,53,19.5,Stormy
249,2024-01-11 08:00:00,Dunedin,NZ,8.2,53,27.6,Foggy
250,2024-01-11 09:00:00,Dunedin,NZ,24.3,94,0.7,Cloudy
251,2024-01-11 10:00:00,Wellington,NZ,5.2,47,18.8,Foggy
252,2024-01-11 11:00:00,Auckland,NZ,14.0,40,5.4,Rainy
253,2024-01-11 12:00:00,Hamilton,NZ,15.8,81,37.9,Snowy
254,2024-01-11 13:00:00,Palmerston North,NZ,16.1,45,21.8,Rainy
255,2024-01-11 14:00:00,Palmerston North,NZ,19.5,73,20.4,Sunny
256,2024-01-11 15:00:00,Napier,NZ,8.2,71,19.0,Rainy
257,2024-01-11 16:00:00,Tauranga,NZ,27.7,74,13.3,Sunny
258,2024-01-11 17:00:00,Dunedin,NZ,15.8,81,22.6,Foggy
259,2024-01-11 18:00:00,Auckland,NZ,5.3,75,13.3,Cloudy
260,2024-01-11 19:00:00,Palmerston North,NZ,17.2,76,35.8,Rainy
261,2024-01-11 20:00:00,Christchurch,NZ,15.6,95,12.7,Sunny
262,2024-01-11 21:00:00,Christchurch,NZ,28.3,89,14.6,Rainy
263,2024-01-11 22:00:00,Dunedin,NZ,16.2,42,38.5,Cloudy
264,2024-01-11 23:00:00,Dunedin,NZ,27.2,78,27.3,Cloudy
265,2024-01-12 00:00:00,Tauranga,NZ,9.0,80,2.9,Stormy
266,2024-01-12 01:00:00,Wellington,NZ,6.6,98,1.7,Rainy
267,2024-01-12 02:00:00,Palmerston North,NZ,15.7,47,38.3,Foggy
268,2024-01-12 03:00:00,Tauranga,NZ,20.2,51,31.5,Snowy
269,2024-01-12 04:00:00,Napier,NZ,15.1,52,21.4,Sunny
270,2024-01-12 05:00:00,Hamilton,NZ,10.0,55,29.8,Cloudy
271,2024-01-12 06:00:00,Auckland,NZ,25.5,95,20.4,Rainy
272,2024-01-12 07:00:00,Hamilton,NZ,27.7,98,9.9,Snowy
273,2024-01-12 08:00:00,Dunedin,NZ,24.6,78,3.7,Cloudy
274,2024-01-12 09:00:00,Christchurch,NZ,27.5,87,4.9,Foggy
275,2024-01-12 10:00:00,Palmerston North,NZ,25.5,75,17.6,Foggy
276,2024-01-12 11:00:00,Napier,NZ,21.2,100,36.5,Rainy
277,2024-01-12 12:00:00,Hamilton,NZ,8.7,100,33.2,Foggy
278,2024-01-12 13:00:00,Auckland,NZ,8.2,52,37.7,Sunny
279,2024-01-12 14:00:00,Christchurch,NZ,24.1,70,27.5,Sunny
280,2024-01-12 15:00:00,Dunedin,NZ,19.1,75,34.4,Cloudy
281,2024-01-12 16:00:00,Wellington,NZ,24.0,59,7.2,Rainy
282,2024-01-12 17:00:00,Wellington,NZ,7.1,52,17.9,Stormy
283,2024-01-12 18:00:00,Auckland,NZ,15.4,41,4.2,Foggy
284,2024-01-12 19:00:00,Tauranga,NZ,17.5,44,3.3,Sunny
285,2024-01-12 20:00:00,Christchurch,NZ,7.0,72,21.9,Stormy
286,2024-01-12 21:00:00,Christchurch,NZ,12.0,44,15.6,Cloudy
287,2024-01-12 22:00:00,Napier,NZ,23.3,91,28.9,Sunny
288,2024-01-12 23:00:00,Wellington,NZ,26.7,67,26.5,Snowy
289,2024-01-13 00:00:00,Hamilton,NZ,10.5,91,37.5,Rainy
290,2024-01-13 01:00:00,Christchurch,NZ,15.5,48,19.9,Cloudy
291,2024-01-13 02:00:00,Napier,NZ,29.8,97,8.2,Foggy
292,2024-01-13 03:00:00,Auckland,NZ,28.5,81,25.2,Stormy
293,2024-01-13 04:00:00,Auckland,NZ,26.4,98,21.5,Cloudy
294,2024-01-13 05:00:00,Palmerston North,NZ,12.5,44,9.2,Sunny
295,2024-01-13 06:00:00,Tauranga,NZ,9.2,42,27.4,Rainy
296,2024-01-13 07:00:00,Auckland,NZ,11.7,94,11.4,Snowy
297,2024-01-13 08:00:00,Tauranga,NZ,21.2,52,21.2,Foggy
298,2024-01-13 09:00:00,Palmerston North,NZ,14.5,88,18.5,Snowy
299,2024-01-13 10:00:00,Christchurch,NZ,7.5,47,21.6,Rainy
300,2024-01-13 11:00:00,Wellington,NZ,13.9,64,36.4,Cloudy
301,2024-01-13 12:00:00,Palmerston North,NZ,23.2,43,22.4,Cloudy
302,2024-01-13 13:00:00,Dunedin,NZ,28.0,58,24.8,Foggy
303,2024-01-13 14:00:00,Christchurch,NZ,23.6,81,9.7,Stormy
304,2024-01-13 15:00:00,Palmerston North,NZ,5.1,61,25.8,Snowy
305,2024-01-13 16:00:00,Palmerston North,NZ,16.5,46,5.1,Sunny
306,2024-01-13 17:00:00,Christchurch,NZ,14.8,60,23.5,Foggy
307,2024-01-13 18:00:00,Christchurch,NZ,15.8,59,26.6,Snowy
308,2024-01-13 19:00:00,Napier,NZ,28.4,54,6.7,Rainy
309,2024-01-13 20:00:00,Tauranga,NZ,12.4,73,32.5,Foggy
310,2024-01-13 21:00:00,Hamilton,NZ,9.9,90,33.7,Snowy
311,2024-01-13 22:00:00,Hamilton,NZ,16.1,45,22.0,Cloudy
312,2024-01-13 23:00:00,Auckland,NZ,13.7,53,6.6,Sunny
313,2024-01-14 00:00:00,Hamilton,NZ,12.2,44,23.0,Sunny
314,2024-01-14 01:00:00,Wellington,NZ,19.6,94,13.2,Foggy
315,2024-01-14 02:00:00,Napier,NZ,27.8,52,21.4,Sunny
316,2024-01-14 03:00:00,Dunedin,NZ,6.9,82,26.5,Rainy
317,2024-01-14 04:00:00,Auckland,NZ,14.2,53,33.7,Rainy
318,2024-01-14 05:00:00,Hamilton,NZ,21.3,91,10.2,Cloudy
319,2024-01-14 06:00:00,Christchurch,NZ,9.4,57,8.9,Foggy
320,2024-01-14 07:00:00,Hamilton,NZ,18.0,76,38.6,Stormy
321,2024-01-14 08:00:00,Napier,NZ,5.2,64,22.8,Snowy
322,2024-01-14 09:00:00,Tauranga,NZ,21.6,54,21.0,Stormy
323,2024-01-14 10:00:00,Auckland,NZ,10.8,69,27.9,Rainy
324,2024-01-14 11:00:00,Hamilton,NZ,17.1,68,9.0,Sunny
325,2024-01-14 12:00:00,Auckland,NZ,13.0,48,17.2,Stormy
326,2024-01-14 13:00:00,Dunedin,NZ,13.0,40,28.0,Cloudy
327,2024-01-14 14:00:00,Napier,NZ,5.6,67,4.3,Stormy
328,2024-01-14 15:00:00,Auckland,NZ,5.2,78,37.5,Sunny
329,2024-01-14 16:00:00,Christchurch,NZ,24.4,99,37.4,Rainy
330,2024-01-14 17:00:00,Napier,NZ,16.9,86,31.3,Snowy
331,2024-01-14 18:00:00,Christchurch,NZ,9.2,48,15.5,Stormy
332,2024-01-14 19:00:00,Dunedin,NZ,14.5,79,27.2,Sunny
333,2024-01-14 20:00:00,Christchurch,NZ,14.6,87,34.3,Snowy
334,2024-01-14 21:00:00,Napier,NZ,19.1,100,7.4,Rainy
335,2024-01-14 22:00:00,Christchurch,NZ,18.4,73,3.9,Foggy
336,2024-01-14 23:00:00,Dunedin,NZ,12.0,54,18.9,Snowy
337,2024-01-15 00:00:00,Auckland,NZ,23.9,46,12.6,Snowy
338,2024-01-15 01:00:00,Palmerston North,NZ,8.2,100,15.3,Foggy
339,2024-01-15 02:00:00,Palmerston North,NZ,30.0,94,28.5,Cloudy
340,2024-01-15 03:00:00,Dunedin,NZ,5.8,54,13.6,Foggy
341,2024-01-15 04:00:00,Wellington,NZ,20.5,66,17.8,Snowy
342,2024-01-15 05:00:00,Hamilton,NZ,22.4,64,7.6,Rainy
343,2024-01-15 06:00:00,Dunedin,NZ,6.5,59,39.6,Snowy
344,2024-01-15 07:00:00,Christchurch,NZ,6.6,42,26.0,Snowy
345,2024-01-15 08:00:00,Hamilton,NZ,18.2,60,3.9,Cloudy
346,2024-01-15 09:00:00,Wellington,NZ,28.4,59,1.5,Stormy
347,2024-01-15 10:00:00,Tauranga,NZ,9.4,87,1.1,Stormy
348,2024-01-15 11:00:00,Tauranga,NZ,7.2,68,27.5,Stormy
349,2024-01-15 12:00:00,Auckland,NZ,29.9,75,29.0,Stormy
